Provinces,country,lat,lng
Shanghai,China,31.222222,121.458056
Beijing,China,39.928819,116.388869
Guangdong,China,23.116667,113.25
Hubei,China,30.583333,114.266667
Tianjin,China,39.142222,117.176667
Chongqing,China,29.562778,106.552778
Liaoning,China,41.792222,123.432778
Sichuan,China,30.666667,104.066667
Shaanxi,China,34.258479,108.924205
Guangxi,China,23.0027,109.84
Jiangsu,China,32.061667,118.777778
Guizhou,China,26.583333,106.716667
Heilongjiang,China,45.75,126.65
Fujian,China,24.513333,117.655556
Jilin,China,43.88,125.322778
Shandong,China,36.790556,118.063333
Zhejiang,China,30.29365,120.161419
Yunnan,China,25.038889,102.718333
Shanxi,China,37.869444,112.560278
Henan,China,34.683611,113.5325
Hunan,China,28.2,112.966667
Gansu,China,36.057006,103.839868
Hebei,China,38.041389,114.478611
Jiangxi,China,28.655758,115.905049
Xinjiang,China,43.807347,87.630506
Hainan,China,20.045833,110.341667
Inner Mongolia,China,40.652222,109.822222
Anhui,China,31.863889,117.280833
Qinghai,China,36.625541,101.75739
Ningxia,China,38.468056,106.273056
Tibet,China,29.65,91.1
